Orthogroup	NEMVE	BRAFL
OG0000069	NEMVE21883, NEMVE21728	bflo_23214
OG0000069	NEMVE15092	bflo_05168, bflo_23210
OG0000069	NEMVE19917	bflo_25959
OG0000069	NEMVE02861	bflo_07771
OG0000069	NEMVE13176	bflo_24611
OG0000069	NEMVE21912	bflo_25591
OG0000070	NEMVE23951, NEMVE09231, NEMVE05946	bflo_17097, bflo_18391, bflo_18274
OG0000071	NEMVE09343, NEMVE08194, NEMVE08188, NEMVE03118, NEMVE12180, NEMVE22137, NEMVE06093, NEMVE06110, NEMVE16393, NEMVE06411, NEMVE16385, NEMVE06394, NEMVE03557, NEMVE06403	bflo_09518, bflo_19908, bflo_10083, bflo_10138, bflo_11896
OG0000071	NEMVE22171	bflo_24861
OG0000071	NEMVE04867	bflo_26583, bflo_00416, bflo_09956, bflo_09957, bflo_09933, bflo_09944, bflo_09951
OG0000071	NEMVE03090	bflo_17295
OG0000071	NEMVE04860	bflo_21382, bflo_21381, bflo_10837, bflo_10250
