Orthogroup	APOSJ_ok	OWEFU
OG0000045	APOSJ_44902, APOSJ_44899, APOSJ_44901, APOSJ_54328, APOSJ_02525, APOSJ_27472	OFUSG21045.1.p1, OFUSG07523.1.p1
OG0000046	APOSJ_02618, APOSJ_32175, APOSJ_31531	OFUSG08597.1.p1, OFUSG08595.1.p1, OFUSG25817.1.p1, OFUSG06162.1.p1, OFUSG17068.1.p1, OFUSG10763.1.p1, OFUSG10761.1.p1
OG0000048	APOSJ_07071	OFUSG15815.1.p1
OG0000048	APOSJ_59658	OFUSG15705.1.p1
OG0000048	APOSJ_10763, APOSJ_10766, APOSJ_11623	OFUSG11584.1.p1
OG0000048	APOSJ_03221, APOSJ_10764	OFUSG11587.1.p1
OG0000048	APOSJ_60260, APOSJ_60261, APOSJ_61046, APOSJ_60262, APOSJ_34779	OFUSG11562.2.p1, OFUSG11562.1.p1
OG0000048	APOSJ_24514, APOSJ_01275, APOSJ_42611, APOSJ_42613, APOSJ_42612, APOSJ_42607, APOSJ_42609, APOSJ_42608, APOSJ_42610	OFUSG07757.1.p1, OFUSG07755.1.p1, OFUSG07756.1.p1, OFUSG07755.2.p2, OFUSG07756.2.p1, OFUSG07027.1.p1
OG0000048	APOSJ_12442	OFUSG04756.1.p1
OG0000049	APOSJ_51843	OFUSG00390.1.p1
OG0000049	APOSJ_36502	OFUSG06038.1.p1
OG0000049	APOSJ_00656	OFUSG23568.1.p1, OFUSG21437.1.p1
OG0000049	APOSJ_09319, APOSJ_59032	OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1
OG0000049	APOSJ_55361, APOSJ_34757, APOSJ_60078, APOSJ_57736, APOSJ_57738, APOSJ_60083, APOSJ_60080, APOSJ_60075, APOSJ_57737, APOSJ_60077, APOSJ_60082	OFUSG19056.1.p1, OFUSG22443.1.p1
OG0000050	APOSJ_13876	OFUSG09384.1.p1
